scenario,planner,trials,success_rate,avg_path_length,avg_violations,path_optimality,planning_time_ms,path_smoothness,risk_exposure,time_s
osm_athens_wildfire_easy,astar,1,1.0,212.0,0.0,0.9953,11.62,0.7667,0.0,0.02
osm_athens_wildfire_medium,astar,1,1.0,286.0,0.0,0.9965,17.3,0.7993,0.0,0.02
osm_athens_wildfire_hard,astar,1,1.0,372.0,0.0,0.9866,27.01,0.8784,0.0,0.03
osm_athens_emergency_easy,astar,1,1.0,679.0,0.0,0.7275,81.84,0.5687,36.9233,0.09
osm_athens_emergency_medium,astar,1,1.0,501.0,0.0,0.9741,14.57,0.6814,11.9291,0.02
osm_athens_emergency_hard,astar,1,1.0,313.0,0.0,0.8754,11.99,0.6624,5.8029,0.02
osm_athens_port_easy,astar,1,0.0,nan,0.0,0.0,0.12,0.0,0.0,0.01
osm_athens_port_medium,astar,1,1.0,428.0,0.0,0.8995,6.03,0.8498,2.3405,0.01
osm_athens_port_hard,astar,1,1.0,702.0,0.0,0.9957,150.94,0.75,3.4599,0.16
osm_athens_crisis_hard,astar,1,1.0,593.0,0.0,0.9882,60.6,0.819,17.9165,0.07
osm_athens_sar_easy,astar,1,1.0,385.0,0.0,0.9974,61.45,0.8198,5.8005,0.07
osm_athens_sar_medium,astar,1,1.0,346.0,0.0,0.9971,32.6,0.7994,0.0,0.04
osm_athens_sar_hard,astar,1,1.0,504.0,0.0,0.998,79.19,0.8984,0.0003,0.08
osm_athens_infrastructure_easy,astar,1,0.0,nan,0.0,0.0,302.66,0.0,0.0,0.31
osm_athens_infrastructure_medium,astar,1,0.0,nan,0.0,0.0,0.01,0.0,0.0,0.01
osm_athens_infrastructure_hard,astar,1,1.0,645.0,0.0,0.9829,53.84,0.6096,26.6452,0.06
osm_athens_border_easy,astar,1,1.0,399.0,0.0,0.9975,21.79,0.9043,2.27,0.03
osm_athens_border_medium,astar,1,1.0,586.0,0.0,0.9983,146.55,0.9264,0.2287,0.15
osm_athens_border_hard,astar,1,1.0,407.0,0.0,0.9975,63.97,0.879,0.0,0.07
osm_athens_comms_denied_hard,astar,1,1.0,375.0,0.0,0.8853,29.9,0.5791,7.8091,0.03
