replan_id,step,trigger,reason,position,old_path_length,new_path_length,old_path_cost,new_path_cost,compute_time_ms,expansions,success,conflict_count,parent_event_id
6e09c5f232c5,0,initial,initial_plan,"[5, 5]",0,20,0.0,20.0,0.38366694934666157,103,True,0,
65069282b2e7,5,forced,forced_at_step_5,"[9, 5]",20,0,20.0,0.0,0.002875109203159809,0,False,6,
9669bcaf6941,8,forced,forced_at_step_8,"[12, 5]",20,13,20.0,13.0,0.11608295608311892,33,True,7,
dacd3e08eda3,18,cadence,interval_10,"[17, 10]",13,3,13.0,3.0,0.014042016118764877,2,True,0,
050e52dc042c,0,initial,initial_plan,"[17, 12]",0,41,0.0,41.0,0.7331250235438347,216,True,0,
b8ce4207b671,22,forced,forced_at_step_22,"[18, 13]",41,39,41.0,39.0,0.6723329424858093,206,True,0,
0df02d132e21,32,cadence,interval_10,"[16, 21]",39,29,39.0,29.0,0.4227079916745424,124,True,0,
f3cf43eaf606,42,cadence,interval_10,"[12, 27]",29,19,29.0,19.0,0.07883389480412006,18,True,0,
dbc5a5e38b53,52,cadence,interval_10,"[12, 37]",19,9,19.0,9.0,0.04237494431436062,8,True,0,
074bcefa57e5,0,initial,initial_plan,"[12, 45]",0,21,0.0,21.0,0.29624998569488525,84,True,0,
85c01916b8f5,62,cadence,interval_10,"[14, 45]",21,19,21.0,19.0,0.2574160462245345,74,True,0,
1564ace30487,66,event,"obstacle_at_(28,45)_in_10_steps","[18, 45]",19,15,19.0,15.0,0.1823750790208578,53,True,2,
a374cbdfeb90,76,cadence,interval_10,"[27, 46]",15,5,15.0,5.0,0.03204098902642727,7,True,0,
239bc5051777,0,initial,initial_plan,"[28, 49]",0,32,0.0,32.0,0.8323750225827098,251,True,0,
9d244dbf4abd,86,cadence,interval_10,"[34, 49]",32,26,32.0,26.0,0.4236249951645732,125,True,0,
9f6d53d13826,96,cadence,interval_10,"[39, 44]",26,16,26.0,16.0,0.06675010081380606,15,True,0,
c0a1dcdd874e,106,cadence,interval_10,"[39, 34]",16,6,16.0,6.0,0.024667009711265564,5,True,0,
0497ffc7947c,0,initial,initial_plan,"[39, 29]",0,32,0.0,32.0,0.5992499645799398,181,True,0,
9636e5ffc429,116,cadence,interval_10,"[34, 29]",32,27,32.0,27.0,0.19387505017220974,51,True,0,
0733a5bbda23,126,cadence,interval_10,"[33, 38]",27,17,27.0,17.0,0.07183302659541368,16,True,0,
f057a7c79c53,136,cadence,interval_10,"[33, 48]",17,7,17.0,7.0,0.028250040486454964,6,True,0,
