metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_corridor_fallback_rate,0.7068516615279204
avg_dynamic_block_entropy,0.8543361111607705
avg_dynamic_block_hits,625.3333333333334
avg_dynamic_blocks,625.3
avg_episode_steps,2000.0
avg_fire_blocks,65.3
avg_guardrail_activation_rate,0.04716666666666667
avg_interaction_congestion_risk_corr,0.02599285943241511
avg_interaction_fire_nfz_overlap_ratio,0.0940951016115346
avg_interaction_fire_road_closure_rate,0.9983333333333334
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,4.5791
avg_path_smoothness,0.7954
avg_planning_time_ms,351.37
avg_relaxation_magnitude,1.8323437821171635
avg_replan_budget_violations,61.333333333333336
avg_replan_latency_after_break,20.77304964539007
avg_replans,1766.3
avg_risk_exposure_integral,307.3714267393803
avg_risk_exposure_sum,0.0467
avg_steps_per_meter,0.4129
avg_success,0.0
avg_time_to_recover_after_break,22.5
avg_traffic_blocks,3.3
plan_budget_violation_rate,1.0
success_rate,0.0
timeout_rate,1.0
